"ECO_ID","ECO_NAME","BIOME_NAME","REALM"
649,"Caspian Hyrcanian mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
815,"Caspian lowland desert","Deserts & Xeric Shrublands","Palearctic"
447,"Catatumbo moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
526,"Cauca Valley dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
448,"Cauca Valley montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
650,"Caucasus mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
651,"Celtic broadleaf forests","Temperate Broadleaf & Mixed Forests","Palearctic"
816,"Central Afghan Mountains xeric woodlands","Deserts & Xeric Shrublands","Palearctic"
111,"Central African mangroves","Mangroves","Afrotropic"
450,"Central American Atlantic moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
527,"Central American dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
451,"Central American montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
553,"Central American pine-oak forests","Tropical & Subtropical Coniferous Forests","Neotropic"
725,"Central Anatolian steppe","Temperate Grasslands, Savannas & Shrublands","Palearctic"
652,"Central Anatolian steppe and woodlands","Temperate Broadleaf & Mixed Forests","Palearctic"
587,"Central Andean dry puna","Montane Grasslands & Shrublands","Neotropic"
588,"Central Andean puna","Montane Grasslands & Shrublands","Neotropic"
589,"Central Andean wet puna","Montane Grasslands & Shrublands","Neotropic"
817,"Central Asian northern desert","Deserts & Xeric Shrublands","Palearctic"
818,"Central Asian riparian woodlands","Deserts & Xeric Shrublands","Palearctic"
819,"Central Asian southern desert","Deserts & Xeric Shrublands","Palearctic"
350,"Central British Columbia Mountain forests","Temperate Conifer Forests","Nearctic"
370,"Central Canadian Shield forests","Boreal Forests/Taiga","Nearctic"
653,"Central China Loess Plateau mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
3,"Central Congolian lowland forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
290,"Central Deccan Plateau dry deciduous forests","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan"
654,"Central European mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
291,"Central Indochina dry forests","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan"
655,"Central Korean deciduous forests","Temperate Broadleaf & Mixed Forests","Palearctic"
427,"Central Mexican matorral","Deserts & Xeric Shrublands","Nearctic"
351,"Central Pacific Northwest coastal forests","Temperate Conifer Forests","Nearctic"
820,"Central Persian desert basins","Deserts & Xeric Shrublands","Palearctic"
619,"Central Polynesian tropical moist forests","Tropical & Subtropical Moist Broadleaf Forests","Oceania"
139,"Central Range Papuan montane rain forests","Tropical & Subtropical Moist Broadleaf Forests","Australasia"
208,"Central Ranges xeric scrub","Deserts & Xeric Shrublands","Australasia"
388,"Central Tallgrass prairie","Temperate Grasslands, Savannas & Shrublands","Nearctic"
750,"Central Tibetan Plateau alpine steppe","Montane Grasslands & Shrublands","Palearctic"
387,"Central US forest-grasslands transition","Temperate Grasslands, Savannas & Shrublands","Nearctic"
39,"Central Zambezian wet miombo woodlands","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
38,"Central bushveld","Tropical & Subtropical Grasslands, Savannas & Shrublands","Afrotropic"
352,"Central-Southern Cascades Forests","Temperate Conifer Forests","Nearctic"
389,"Central-Southern US mixed grasslands","Temperate Grasslands, Savannas & Shrublands","Nearctic"
567,"Cerrado","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic"
656,"Changbai Mountains mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
657,"Changjiang Plain evergreen forests","Temperate Broadleaf & Mixed Forests","Palearctic"
224,"Chao Phraya freshwater swamp forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
225,"Chao Phraya lowland moist deciduous forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
167,"Chatham Island temperate forests","Temperate Broadleaf & Mixed Forests","Australasia"
771,"Cherskii-Kolyma mountain tundra","Tundra","Palearctic"
292,"Chhota-Nagpur dry deciduous forests","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan"
528,"Chiapas Depression dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
452,"Chiapas montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
428,"Chihuahuan desert","Deserts & Xeric Shrublands","Nearctic"
596,"Chilean Matorral","Mediterranean Forests, Woodlands & Scrub","Neotropic"
453,"Chimalapas montane forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
226,"Chin Hills-Arakan Yoma montane forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
529,"Chiquitano dry forests","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
454,"Choc<U+00F3>-Dari<U+00E9>n moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
772,"Chukchi Peninsula tundra","Tundra","Palearctic"
429,"Colorado Plateau shrublands","Deserts & Xeric Shrublands","Nearctic"
353,"Colorado Rockies forests","Temperate Conifer Forests","Nearctic"
4,"Comoros forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
5,"Congolian coastal forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
